Site,Longitude,Latitude,Var1
IsleOfMay,-1.437145715,55.48733568,-488.9954736
IsleOfMay,-1.428809603,55.48733568,-517.4765658
IsleOfMay,-1.420473491,55.48733568,-546.6486714
IsleOfMay,-1.595531844,55.49567169,-108.9277853
IsleOfMay,-1.587195732,55.49567169,-120.2560656
IsleOfMay,-1.57885962,55.49567169,-132.4300614
IsleOfMay,-1.570523508,55.49567169,-145.4828264
IsleOfMay,-1.562187396,55.49567169,-159.4447911
IsleOfMay,-1.553851284,55.49567169,-174.3410188
IsleOfMay,-1.545515172,55.49567169,-190.1961195
IsleOfMay,-1.53717906,55.49567169,-207.0372803
IsleOfMay,-1.528842948,55.49567169,-224.8605999
IsleOfMay,-1.520506836,55.49567169,-243.6652311
IsleOfMay,-1.512170724,55.49567169,-263.4544963
IsleOfMay,-1.503834612,55.49567169,-284.229674
IsleOfMay,-1.495498499,55.49567169,-305.9782047
IsleOfMay,-1.487162387,55.49567169,-328.687166
IsleOfMay,-1.478826275,55.49567169,-352.3527159
IsleOfMay,-1.470490163,55.49567169,-376.940609
IsleOfMay,-1.462154051,55.49567169,-402.4097591
IsleOfMay,-1.453817939,55.49567169,-428.7213142
IsleOfMay,-1.445481827,55.49567169,-455.8410065
IsleOfMay,-1.437145715,55.49567169,-483.7386688
IsleOfMay,-1.428809603,55.49567169,-512.3836209
IsleOfMay,-1.420473491,55.49567169,-541.7338044
IsleOfMay,-1.412137379,55.49567169,-571.74627
IsleOfMay,-1.603867956,55.50400769,-93.22177227
IsleOfMay,-1.595531844,55.50400769,-103.6426027
IsleOfMay,-1.587195732,55.50400769,-114.892153
IsleOfMay,-1.57885962,55.50400769,-127.0011674
IsleOfMay,-1.570523508,55.50400769,-139.9999235
IsleOfMay,-1.562187396,55.50400769,-153.9167281
IsleOfMay,-1.553851284,55.50400769,-168.7770765
IsleOfMay,-1.545515172,55.50400769,-184.6052742
IsleOfMay,-1.53717906,55.50400769,-201.4206743
IsleOfMay,-1.528842948,55.50400769,-219.2272874
IsleOfMay,-1.520506836,55.50400769,-238.0254467
IsleOfMay,-1.512170724,55.50400769,-257.8167475
IsleOfMay,-1.503834612,55.50400769,-278.6001279
IsleOfMay,-1.495498499,55.50400769,-300.3684683
IsleOfMay,-1.487162387,55.50400769,-323.112769
IsleOfMay,-1.478826275,55.50400769,-346.8235136
IsleOfMay,-1.470490163,55.50400769,-371.4833971
IsleOfMay,-1.462154051,55.50400769,-397.0442344
IsleOfMay,-1.453817939,55.50400769,-423.4665079
IsleOfMay,-1.445481827,55.50400769,-450.7147509
IsleOfMay,-1.437145715,55.50400769,-478.7548438
IsleOfMay,-1.428809603,55.50400769,-507.5515064
IsleOfMay,-1.420473491,55.50400769,-537.0654514
IsleOfMay,-1.412137379,55.50400769,-567.2558767
IsleOfMay,-1.403801267,55.50400769,-598.082861
IsleOfMay,-1.395465155,55.50400769,-629.5070587
IsleOfMay,-1.612204068,55.5123437,-78.84940017
IsleOfMay,-1.603867956,55.5123437,-88.36545583
IsleOfMay,-1.595531844,55.5123437,-98.6954771
IsleOfMay,-1.587195732,55.5123437,-109.8689153
IsleOfMay,-1.57885962,55.5123437,-121.9147408
IsleOfMay,-1.570523508,55.5123437,-134.8614998
IsleOfMay,-1.562187396,55.5123437,-148.7362304
IsleOfMay,-1.553851284,55.5123437,-163.5636127
IsleOfMay,-1.545515172,55.5123437,-179.3652447
IsleOfMay,-1.53717906,55.5123437,-196.1568272
IsleOfMay,-1.528842948,55.5123437,-213.94575
IsleOfMay,-1.520506836,55.5123437,-232.7347222
IsleOfMay,-1.512170724,55.5123437,-252.5251263
IsleOfMay,-1.503834612,55.5123437,-273.3166125
IsleOfMay,-1.495498499,55.5123437,-295.1056852
IsleOfMay,-1.487162387,55.5123437,-317.8850251
IsleOfMay,-1.478826275,55.5123437,-341.642701
IsleOfMay,-1.470490163,55.5123437,-366.3575835
IsleOfMay,-1.462154051,55.5123437,-391.993395
IsleOfMay,-1.453817939,55.5123437,-418.5118238
IsleOfMay,-1.445481827,55.5123437,-445.874292
IsleOfMay,-1.437145715,55.5123437,-474.0423265
IsleOfMay,-1.428809603,55.5123437,-502.9780781
IsleOfMay,-1.420473491,55.5123437,-532.6430235
IsleOfMay,-1.412137379,55.5123437,-562.9980727
IsleOfMay,-1.403801267,55.5123437,-594.0042651
IsleOfMay,-1.395465155,55.5123437,-625.6226239
