Site,Longitude,Latitude,Var1
IsleOfMay,-1.862287429,55.73741584,-132.7554134
IsleOfMay,-1.853951317,55.73741584,-134.3495127
IsleOfMay,-1.845615205,55.73741584,-135.8490726
IsleOfMay,-1.837279093,55.73741584,-137.2460036
IsleOfMay,-1.828942981,55.73741584,-138.5312594
IsleOfMay,-1.820606869,55.73741584,-139.6944692
IsleOfMay,-1.812270757,55.73741584,-140.7321389
IsleOfMay,-1.803934645,55.73741584,-141.6396048
IsleOfMay,-1.795598533,55.73741584,-142.4092377
IsleOfMay,-1.787262421,55.73741584,-143.0394244
IsleOfMay,-1.778926309,55.73741584,-143.5294153
IsleOfMay,-1.770590197,55.73741584,-143.8814193
IsleOfMay,-1.762254085,55.73741584,-144.1005753
IsleOfMay,-1.753917973,55.73741584,-144.1923416
IsleOfMay,-1.745581861,55.73741584,-144.1631812
IsleOfMay,-1.98732911,55.74575184,-99.84070457
IsleOfMay,-1.978992998,55.74575184,-101.9718343
IsleOfMay,-1.970656886,55.74575184,-104.1196055
IsleOfMay,-1.962320774,55.74575184,-106.2778294
IsleOfMay,-1.953984662,55.74575184,-108.4399484
IsleOfMay,-1.94564855,55.74575184,-110.5990442
IsleOfMay,-1.937312437,55.74575184,-112.7478336
IsleOfMay,-1.928976325,55.74575184,-114.8786793
IsleOfMay,-1.920640213,55.74575184,-116.9837114
IsleOfMay,-1.912304101,55.74575184,-119.054971
IsleOfMay,-1.903967989,55.74575184,-121.0843357
IsleOfMay,-1.895631877,55.74575184,-123.0633455
IsleOfMay,-1.887295765,55.74575184,-124.9836218
IsleOfMay,-1.878959653,55.74575184,-126.8379871
IsleOfMay,-1.870623541,55.74575184,-128.6193861
IsleOfMay,-1.862287429,55.74575184,-130.3204329
IsleOfMay,-1.853951317,55.74575184,-131.9334911
IsleOfMay,-1.845615205,55.74575184,-133.4506422
IsleOfMay,-1.837279093,55.74575184,-134.8635142
IsleOfMay,-1.828942981,55.74575184,-136.1628477
IsleOfMay,-1.820606869,55.74575184,-137.339161
IsleOfMay,-1.812270757,55.74575184,-138.3860854
IsleOfMay,-1.803934645,55.74575184,-139.299768
IsleOfMay,-1.795598533,55.74575184,-140.0760073
IsleOfMay,-1.787262421,55.74575184,-140.7130072
IsleOfMay,-1.778926309,55.74575184,-141.2097652
IsleOfMay,-1.770590197,55.74575184,-141.5643557
IsleOfMay,-1.762254085,55.74575184,-141.782358
IsleOfMay,-1.753917973,55.74575184,-141.8679779
IsleOfMay,-1.745581861,55.74575184,-141.8287863
IsleOfMay,-1.737245749,55.74575184,-141.6736831
IsleOfMay,-1.728909637,55.74575184,-141.4107487
IsleOfMay,-1.98732911,55.75408785,-97.07178869
IsleOfMay,-1.978992998,55.75408785,-99.21599622
IsleOfMay,-1.970656886,55.75408785,-101.3782847
IsleOfMay,-1.962320774,55.75408785,-103.552243
IsleOfMay,-1.953984662,55.75408785,-105.731093
IsleOfMay,-1.94564855,55.75408785,-107.907715
IsleOfMay,-1.937312437,55.75408785,-110.0746713
IsleOfMay,-1.928976325,55.75408785,-112.2242484
IsleOfMay,-1.920640213,55.75408785,-114.3485317
IsleOfMay,-1.912304101,55.75408785,-116.4394659
IsleOfMay,-1.903967989,55.75408785,-118.4888188
IsleOfMay,-1.895631877,55.75408785,-120.487928
IsleOfMay,-1.887295765,55.75408785,-122.4274515
IsleOfMay,-1.878959653,55.75408785,-124.3007294
IsleOfMay,-1.870623541,55.75408785,-126.1004261
IsleOfMay,-1.862287429,55.75408785,-127.8187658
IsleOfMay,-1.853951317,55.75408785,-129.4477541
IsleOfMay,-1.845615205,55.75408785,-130.979171
IsleOfMay,-1.837279093,55.75408785,-132.4044609
IsleOfMay,-1.828942981,55.75408785,-133.7147192
IsleOfMay,-1.820606869,55.75408785,-134.9009654
IsleOfMay,-1.812270757,55.75408785,-135.9542682
IsleOfMay,-1.803934645,55.75408785,-136.87297
IsleOfMay,-1.795598533,55.75408785,-137.654466
