Site,Longitude,Latitude,Var1
IsleOfMay,-1.420473491,55.48733568,-308.0093276
IsleOfMay,-1.595531844,55.49567169,122.6951025
IsleOfMay,-1.587195732,55.49567169,111.6573891
IsleOfMay,-1.57885962,55.49567169,99.7754849
IsleOfMay,-1.570523508,55.49567169,87.01632108
IsleOfMay,-1.562187396,55.49567169,73.34945206
IsleOfMay,-1.553851284,55.49567169,58.74979955
IsleOfMay,-1.545515172,55.49567169,43.19273881
IsleOfMay,-1.53717906,55.49567169,26.65106797
IsleOfMay,-1.528842948,55.49567169,9.128673796
IsleOfMay,-1.520506836,55.49567169,-9.373611019
IsleOfMay,-1.512170724,55.49567169,-28.85912312
IsleOfMay,-1.503834612,55.49567169,-49.32915516
IsleOfMay,-1.495498499,55.49567169,-70.77116181
IsleOfMay,-1.487162387,55.49567169,-93.17223465
IsleOfMay,-1.478826275,55.49567169,-116.5285453
IsleOfMay,-1.470490163,55.49567169,-140.8058622
IsleOfMay,-1.462154051,55.49567169,-165.9631128
IsleOfMay,-1.453817939,55.49567169,-191.9614582
IsleOfMay,-1.445481827,55.49567169,-218.7666443
IsleOfMay,-1.437145715,55.49567169,-246.3485167
IsleOfMay,-1.428809603,55.49567169,-274.6764086
IsleOfMay,-1.420473491,55.49567169,-303.7082744
IsleOfMay,-1.412137379,55.49567169,-333.4011775
IsleOfMay,-1.603867956,55.50400769,137.4557358
IsleOfMay,-1.595531844,55.50400769,127.3260657
IsleOfMay,-1.587195732,55.50400769,116.3692126
IsleOfMay,-1.57885962,55.50400769,104.5544168
IsleOfMay,-1.570523508,55.50400769,91.85138523
IsleOfMay,-1.562187396,55.50400769,78.23179582
IsleOfMay,-1.553851284,55.50400769,63.67013825
IsleOfMay,-1.545515172,55.50400769,48.14209191
IsleOfMay,-1.53717906,55.50400769,31.62828886
IsleOfMay,-1.528842948,55.50400769,14.12470374
IsleOfMay,-1.520506836,55.50400769,-4.369011213
IsleOfMay,-1.512170724,55.50400769,-23.8544657
IsleOfMay,-1.503834612,55.50400769,-44.33061225
IsleOfMay,-1.495498499,55.50400769,-65.79034547
IsleOfMay,-1.487162387,55.50400769,-88.22467978
IsleOfMay,-1.478826275,55.50400769,-111.6241126
IsleOfMay,-1.470490163,55.50400769,-135.9713529
IsleOfMay,-1.462154051,55.50400769,-161.2182291
IsleOfMay,-1.453817939,55.50400769,-187.3252374
IsleOfMay,-1.445481827,55.50400769,-214.2569243
IsleOfMay,-1.437145715,55.50400769,-241.9791835
IsleOfMay,-1.428809603,55.50400769,-270.4567482
IsleOfMay,-1.420473491,55.50400769,-299.6503438
IsleOfMay,-1.412137379,55.50400769,-329.5191814
IsleOfMay,-1.403801267,55.50400769,-360.0233524
IsleOfMay,-1.395465155,55.50400769,-391.1235237
IsleOfMay,-1.612204068,55.5123437,150.8830403
