Site,Longitude,Latitude,Var1
IsleOfMay,-1.862287429,55.73741584,-107.1820506
IsleOfMay,-1.853951317,55.73741584,-108.5684121
IsleOfMay,-1.845615205,55.73741584,-109.8588021
IsleOfMay,-1.837279093,55.73741584,-111.0451559
IsleOfMay,-1.828942981,55.73741584,-112.1184513
IsleOfMay,-1.820606869,55.73741584,-113.0683411
IsleOfMay,-1.812270757,55.73741584,-113.8913549
IsleOfMay,-1.803934645,55.73741584,-114.5828515
IsleOfMay,-1.795598533,55.73741584,-115.1352245
IsleOfMay,-1.787262421,55.73741584,-115.5468827
IsleOfMay,-1.778926309,55.73741584,-115.8170981
IsleOfMay,-1.770590197,55.73741584,-115.9481009
IsleOfMay,-1.762254085,55.73741584,-115.9450508
IsleOfMay,-1.753917973,55.73741584,-115.8134265
IsleOfMay,-1.745581861,55.73741584,-115.5597112
IsleOfMay,-1.98732911,55.74575184,-77.64780922
IsleOfMay,-1.978992998,55.74575184,-79.59358288
IsleOfMay,-1.970656886,55.74575184,-81.55414527
IsleOfMay,-1.962320774,55.74575184,-83.52333919
IsleOfMay,-1.953984662,55.74575184,-85.49463838
IsleOfMay,-1.94564855,55.74575184,-87.46115558
IsleOfMay,-1.937312437,55.74575184,-89.41563795
IsleOfMay,-1.928976325,55.74575184,-91.35047854
IsleOfMay,-1.920640213,55.74575184,-93.25783714
IsleOfMay,-1.912304101,55.74575184,-95.12978402
IsleOfMay,-1.903967989,55.74575184,-96.95822573
IsleOfMay,-1.895631877,55.74575184,-98.73473062
IsleOfMay,-1.887295765,55.74575184,-100.4509479
IsleOfMay,-1.878959653,55.74575184,-102.0997277
IsleOfMay,-1.870623541,55.74575184,-103.6740415
IsleOfMay,-1.862287429,55.74575184,-105.1665299
IsleOfMay,-1.853951317,55.74575184,-106.5695826
IsleOfMay,-1.845615205,55.74575184,-107.8753067
IsleOfMay,-1.837279093,55.74575184,-109.0753551
IsleOfMay,-1.828942981,55.74575184,-110.160493
IsleOfMay,-1.820606869,55.74575184,-111.1212629
IsleOfMay,-1.812270757,55.74575184,-111.9513198
IsleOfMay,-1.803934645,55.74575184,-112.6468339
IsleOfMay,-1.795598533,55.74575184,-113.2036266
